refund_id,order_id,quantity,subtotal,tax_subtotal,line_item_id,title,sku,product_id,product_type,variant_id,variant_sku,refund_line_item_id
gid://shopify/Refund/975207235683,#461347,1,39.99,0.0,gid://shopify/LineItem/15704458952803,Onyx Marble Cropped Yin Scoop Neck Top,54220CL-M,gid://shopify/Product/7689323905123,Tops,gid://shopify/ProductVariant/42986363289699,54220CL-M,gid://shopify/Refund/975207235683_gid://shopify/LineItem/15704458952803
gid://shopify/Refund/973885898851,#461348,1,0.0,0.0,gid://shopify/LineItem/15704463081571,Shanti Namaste Bracelet,112NMB-S24-01,gid://shopify/Product/7130481918051,Bracelet,gid://shopify/ProductVariant/41113966379107,112NMB-S24-01,gid://shopify/Refund/973885898851_gid://shopify/LineItem/15704463081571
gid://shopify/Refund/973885898851,#461348,1,14.99,1.16,gid://shopify/LineItem/15704463114339,Great Smoky Mountains National Park Bracelet,422NPB-S24-07,gid://shopify/Product/7407311290467,Bracelet,gid://shopify/ProductVariant/42700051578979,422NPB-S24-07,gid://shopify/Refund/973885898851_gid://shopify/LineItem/15704463114339
gid://shopify/Refund/976537550947,#461358,1,68.0,0.0,gid://shopify/LineItem/15704569839715,Black Cotton Crop Top & Wide Leg Pants Lounge Set,ASETS-91105C-M-86105C-02,gid://shopify/Product/6919631503459,Lounge Set,gid://shopify/ProductVariant/40367306539107,ASETS-91105C-M-86105C-02,gid://shopify/Refund/976537550947_gid://shopify/LineItem/15704569839715
gid://shopify/Refund/976537550947,#461358,1,34.99,0.0,gid://shopify/LineItem/15704570658915,Black Wide Leg Cotton Pants,91105C-M,gid://shopify/Product/6695201505379,Pants,gid://shopify/ProductVariant/40240536846435,91105C-M,gid://shopify/Refund/976537550947_gid://shopify/LineItem/15704570658915
gid://shopify/Refund/976537550947,#461358,1,44.0,0.0,gid://shopify/LineItem/15704569872483,Seaside Spice Wide Leg Cotton Pants,91196C-M,gid://shopify/Product/7592508588131,Pants,gid://shopify/ProductVariant/42608337059939,91196C-M,gid://shopify/Refund/976537550947_gid://shopify/LineItem/15704569872483
gid://shopify/Refund/976537550947,#461358,1,44.0,0.0,gid://shopify/LineItem/15704569905251,Pacific Wide Leg Cotton Pants,91129C-M,gid://shopify/Product/6877764255843,Pants,gid://shopify/ProductVariant/40210087379043,91129C-M,gid://shopify/Refund/976537550947_gid://shopify/LineItem/15704569905251
gid://shopify/Refund/976540729443,#461397,1,32.0,2.12,gid://shopify/LineItem/15705196593251,Celestial Grey Harem Pants,90210-PKT-S,gid://shopify/Product/7669330739299,Pants,gid://shopify/ProductVariant/42906145423459,90210-PKT-S,gid://shopify/Refund/976540729443_gid://shopify/LineItem/15705196593251
gid://shopify/Refund/975834775651,#461418,1,39.99,3.0,gid://shopify/LineItem/15705443106915,Black Harem Pants,90105-PKT-XL,gid://shopify/Product/6799865839715,Pants,gid://shopify/ProductVariant/41633977892963,90105-PKT-XL,gid://shopify/Refund/975834775651_gid://shopify/LineItem/15705443106915
gid://shopify/Refund/975818948707,#461452,1,32.0,0.0,gid://shopify/LineItem/15705843368035,Sahara Harem Pants,90112-PKT-M,gid://shopify/Product/6695196950627,Pants,gid://shopify/ProductVariant/40240619421795,90112-PKT-M,gid://shopify/Refund/975818948707_gid://shopify/LineItem/15705843368035
