order_id,line_item_id,created_at,updated_at,title,quantity,sku,product_id,product_type,variant_id,variant_sku,variant_price,original_total,discounted_total,discount_codes,discount_amounts
#477362,gid://shopify/LineItem/16024022024291,2025-04-17 11:33:49,2025-04-17 12:35:00,Onyx Hatha Long Sleeve Top,1,57105CL-S,gid://shopify/Product/7532065063011,Tops,gid://shopify/ProductVariant/42422437183587,57105CL-S,49.99,49.99,49.99,ZEN20,9.99
#477363,gid://shopify/LineItem/16024029298787,2025-04-17 11:40:41,2025-04-17 11:40:50,Master Healer 4mm Metal Accent Healing Necklace,1,210HLN-S24-06,gid://shopify/Product/7200258719843,Necklace,gid://shopify/ProductVariant/41335984717923,210HLN-S24-06,24.99,24.99,24.99,,
#477363,gid://shopify/LineItem/16024029331555,2025-04-17 11:40:41,2025-04-17 11:40:50,"""My Inner Voice is my Guide"" Goddess Necklace",1,22004,gid://shopify/Product/4749776093283,Necklace,gid://shopify/ProductVariant/41457619107939,22004,21.46,21.46,21.46,,
#477364,gid://shopify/LineItem/16024049188963,2025-04-17 11:56:34,2025-04-17 13:00:01,Como Harem Pants,1,90116-PKT-TAL-L,gid://shopify/Product/7576418254947,Pants,gid://shopify/ProductVariant/42558396792931,90116-PKT-TAL-L,39.99,39.99,39.99,,
#477364,gid://shopify/LineItem/16024049221731,2025-04-17 11:56:34,2025-04-17 13:00:01,Black Nomad Jumpsuit,1,81105C-ADJ-M,gid://shopify/Product/7654295273571,Romper,gid://shopify/ProductVariant/42846186733667,81105C-ADJ-M,62.99,62.99,62.99,,
#477364,gid://shopify/LineItem/16024049254499,2025-04-17 11:56:34,2025-04-17 13:00:01,Como Harem Pants,1,90116-PKT-TAL-M,gid://shopify/Product/7576418254947,Pants,gid://shopify/ProductVariant/42558396760163,90116-PKT-TAL-M,39.99,39.99,39.99,,
#477365,gid://shopify/LineItem/16024059674723,2025-04-17 12:05:29,2025-04-17 12:05:46,Sahara Harem Pants,1,90112-PKT-PET-S,gid://shopify/Product/6695196950627,Pants,gid://shopify/ProductVariant/41621841084515,90112-PKT-PET-S,39.99,39.99,39.99,,
#477366,gid://shopify/LineItem/16024079073379,2025-04-17 12:17:02,2025-04-17 12:17:10,Mystery Shorts,2,MYST-SHOLXL-01,gid://shopify/Product/6900507312227,Shorts,gid://shopify/ProductVariant/40300087312483,MYST-SHOLXL-01,22.22,44.44,44.44,,
#477367,gid://shopify/LineItem/16024098242659,2025-04-17 12:26:53,2025-04-17 13:30:01,Sahara Harem Pants,1,90112-PKT-TAL-L,gid://shopify/Product/6695196950627,Pants,gid://shopify/ProductVariant/41621841215587,90112-PKT-TAL-L,39.99,39.99,39.99,,
#477368,gid://shopify/LineItem/16024104534115,2025-04-17 12:29:09,2025-04-17 12:29:22,Inner Peace 3mm Metal Accent Bracelet,1,3HLB015,gid://shopify/Product/7755246862435,Bracelet,gid://shopify/ProductVariant/43247906553955,3HLB015,25.99,25.99,25.99,GRACE,5.2
#477368,gid://shopify/LineItem/16024104566883,2025-04-17 12:29:09,2025-04-17 12:29:22,Vitality 3mm Metal Accent Bracelet,1,3HLB013,gid://shopify/Product/7755244896355,Bracelet,gid://shopify/ProductVariant/43247890727011,3HLB013,25.99,25.99,25.99,GRACE,5.2
#477368,gid://shopify/LineItem/16024104599651,2025-04-17 12:29:09,2025-04-17 12:29:22,Moon Dancer 3mm Metal Accent Bracelet,1,3HLB003,gid://shopify/Product/7600331587683,Bracelet,gid://shopify/ProductVariant/42640211378275,3HLB003,25.99,25.99,25.99,GRACE,5.2
#477368,gid://shopify/LineItem/16024104632419,2025-04-17 12:29:09,2025-04-17 12:29:22,Good Fortune + Growth Healing 2mm Anklet,1,104HLA-S24-04,gid://shopify/Product/7129810829411,Anklet,gid://shopify/ProductVariant/41097409527907,104HLA-S24-04,30.0,30.0,30.0,GRACE,6.0
#477369,gid://shopify/LineItem/16024117248099,2025-04-17 12:37:52,2025-04-17 13:40:01,Baja Harem Pants,1,90104-PKT-XL,gid://shopify/Product/6633433694307,Pants,gid://shopify/ProductVariant/40628288880739,90104-PKT-XL,39.99,39.99,39.99,,
#477370,gid://shopify/LineItem/16024143691875,2025-04-17 12:52:11,2025-04-17 12:52:19,Black Daydreamer Top,1,52105,gid://shopify/Product/7157888581731,Tops,gid://shopify/ProductVariant/41208639815779,52105,36.99,36.99,36.99,,
#477371,gid://shopify/LineItem/16024145461347,2025-04-17 12:53:36,2025-04-17 12:53:43,Baja Harem Pants,1,90104-PKT-S,gid://shopify/Product/6633433694307,Pants,gid://shopify/ProductVariant/40628288815203,90104-PKT-S,39.99,39.99,39.99,,
#477372,gid://shopify/LineItem/16024146018403,2025-04-17 12:54:03,2025-04-17 12:54:22,Mystic Plum Lounge Set,1,ASETS-90209-PKT-L-50209-02,gid://shopify/Product/7724898517091,Lounge Set,gid://shopify/ProductVariant/43126115696739,ASETS-90209-PKT-L-50209-02,79.99,79.99,79.99,WELCOME20,15.99
#477372,gid://shopify/LineItem/16024146051171,2025-04-17 12:54:03,2025-04-17 12:54:22,Santa Barbara Island Harem Pants,1,90053-PKT-L,gid://shopify/Product/7617757708387,Pants,gid://shopify/ProductVariant/42705795874915,90053-PKT-L,32.99,32.99,32.99,WELCOME20,6.59
#477373,gid://shopify/LineItem/16024147525731,2025-04-17 12:54:46,2025-04-17 12:55:07,Mystic Plum Harem Pants,1,90209-PKT-TAL-L,gid://shopify/Product/7669329428579,Pants,gid://shopify/ProductVariant/43270155370595,90209-PKT-TAL-L,39.99,39.99,39.99,WELCOME20,7.99
#477373,gid://shopify/LineItem/16024147558499,2025-04-17 12:54:46,2025-04-17 12:55:07,Black Harem Pants,1,90105-PKT-TAL-L,gid://shopify/Product/6799865839715,Pants,gid://shopify/ProductVariant/41633977958499,90105-PKT-TAL-L,39.99,39.99,39.99,WELCOME20,7.99
#477374,gid://shopify/LineItem/16024174887011,2025-04-17 13:08:40,2025-04-17 14:10:00,Capri Harem Pants,1,90211-PKT-M,gid://shopify/Product/7729866965091,Pants,gid://shopify/ProductVariant/43161104744547,90211-PKT-M,39.99,39.99,39.99,,
#477374,gid://shopify/LineItem/16024174919779,2025-04-17 13:08:40,2025-04-17 14:10:00,Seven Chakras Harem Pants,1,90206-PKT-M,gid://shopify/Product/7670619308131,Pants,gid://shopify/ProductVariant/42913490796643,90206-PKT-M,39.99,39.99,39.99,,
#477375,gid://shopify/LineItem/16024186749027,2025-04-17 13:14:16,2025-04-17 13:16:04,Master Healer 4mm Healing Necklace,1,21073,gid://shopify/Product/4704192397411,Necklace,gid://shopify/ProductVariant/40328087470179,21073,32.99,32.99,32.99,,
#477375,gid://shopify/LineItem/16024186781795,2025-04-17 13:14:16,2025-04-17 13:16:04,Master Healer 4mm Healing Bracelet,1,41031,gid://shopify/Product/4439390978147,Bracelet,gid://shopify/ProductVariant/43175824818275,41031,23.99,23.99,23.99,,
#477376,gid://shopify/LineItem/16024199757923,2025-04-17 13:17:26,2025-04-17 13:17:42,Mystery Harem Pants,1,MYST-HAR-TAL-L,gid://shopify/Product/6667793727587,Pants,gid://shopify/ProductVariant/42994426118243,MYST-HAR-TAL-L,22.22,22.22,22.22,,
#477377,gid://shopify/LineItem/16024211226723,2025-04-17 13:19:04,2025-04-17 13:19:13,Mystery Harem Pants,1,MYST-HAR-M,gid://shopify/Product/6667793727587,Pants,gid://shopify/ProductVariant/41829911494755,MYST-HAR-M,22.22,22.22,22.22,,
#477378,gid://shopify/LineItem/16024258084963,2025-04-17 13:27:30,2025-04-17 13:27:36,Mystery Harem Pants,1,MYST-HAR-M,gid://shopify/Product/6667793727587,Pants,gid://shopify/ProductVariant/41829911494755,MYST-HAR-M,22.22,22.22,22.22,,
