order_id,tag
#QFAVF3A4Q7,Faire
#R5AYZBFTYR,Faire
#G6SKU5HYFQ,Faire
#F4ZZXS5EWY,Faire
#SBKVUXWQ4C,Faire
#GHRJ3ZP57V,Faire
#QF8KX885Z9,Faire
#FTKNJD8SFS,Faire
#YFAFK5M3JE,Faire
#NJ6U5J3EV3,Faire
#JFR6JC8P7G,Faire
#R8THXK6H2B,Faire
S02790,SURFEXPO_Sept24
#6JCXE9PS6Q,Faire
#8HRW3PWBYH,Faire
#78C5B4QJCW,Faire
#78C5B4QJCW,NEW ACCOUNT
#KXVPU8974W,Faire
#2U7F639PQ4,Faire
S03412,surfexpo_Jan25
#A7GZBXTKRA,Faire
#GF3ABKGBJN,Faire
#EH3TN9N5KR,Faire
#UUZSJFKSE5,Faire
#VJK8DWUHNV,Faire
#B7WT76Q6RG,Faire
S03863,SAMPLE PACK
#WKKZWYJ2MM,Faire
#74UZCZSZYH,Faire
#7S5SYVSP55,Faire
#SSXTU528P4,Faire
S03552,surfexpo_Jan25
S03551,surfexpo_Jan25
S03550,surfexpo_Jan25
S03548,surfexpo_Jan25
S03549,surfexpo_Jan25
S03547,surfexpo_Jan25
S03555,surfexpo_Jan25
S03554,surfexpo_Jan25
S03391,surfexpo_Jan25
S03553,surfexpo_Jan25
#3UUY8GWEVQ,Faire
#BK6X2S7KV7,Faire
#V77NDH2MW4,Faire
#DN9R3JTANT,Faire
#CTHP8S3PCQ,Faire
#ADQE4FYSGS,Faire
S03593,suggested order
S03593,Remote Show Special
S03593,surfexpo_Jan25
S03854,SAMPLES
#8Q52QC83AD,Faire
#F4M3JRCETE,Faire
#NKNR8DX3AK,Faire
#GP5BJUQ42Z,Faire
#2KKFJ3A5VP,Faire
#KBXNZYN7J2,Faire
#YBRSRJUBXD,Faire
#EFGG5TSES5,Faire
#XKDF5UJTHS,Faire
#5BV4NZZ239,Faire
S03851,new door
#N7YHHMQMEH,Faire
#S5A5XRXJAZ,Faire
#QAEPMM5BB5,Faire
#8Q7NQMT4NQ,Faire
#P93YJWMJWP,Faire
#MMN22K7NTT,Faire
#SEA8UXP6XW,Faire
S03849,MAGICLV_Feb25
S03848,MAGICLV_Feb25
#T9HWJR546C,Faire
#YXANMRCQM4,Faire
#NA4QRTGU2E,Faire
#2HEJXGHAM5,Faire
#WFVDAJNFHQ,Faire
#K56AZ24M2S,Faire
#2MGAAR88YU,Faire
#GXMYPTFGMB,Faire
#RBN7GCUZF9,Faire
#C54YTR5EYR,Faire
#SE7N3BGN2Y,Faire
#H98BZACEQD,Faire
#B5N2T6PM7F,Faire
S03821,NEW ACCOUNT
S03821,MAGICLV_Feb25
S03841,SAMPLE PACK
S03803,NEW ACCOUNT
S03803,MAGICLV_Feb25
#7GEXGEHDGU,Faire
#94QSBKEUZV,Faire
#5SW6TMCSZS,Faire
S03838,REP SAMPLES
S03640,surfexpo_Jan25
S03414,new door
S03414,surfexpo_Jan25
S03798,NEW ACCOUNT
S03798,MAGICLV_Feb25
#54B9Z2S6EK,Faire
#T29ZHTCJ8P,Faire
#ATGPU8MG8M,Faire
