order_id,delivery_id,ship_date,scheduled_date,invoice_id,invoice_number,invoice_amount_residual,due_date,channel,payment_terms,invoice_move_id,payment_ids,total_paid,amount_residual
#478649,137033,2025-04-22 19:20:08,2025-04-22 19:20:08,,,,2025-04-22 19:20:08,,,,[],0.0,
#478650,137039,2025-04-22 19:25:26,2025-04-22 19:25:26,,,,2025-04-22 19:25:26,,,,[],0.0,
#478651,137038,2025-04-22 19:28:27,2025-04-22 19:28:27,,,,2025-04-22 19:28:27,,,,[],0.0,
#478652,137037,2025-04-22 19:39:46,2025-04-22 19:39:46,,,,2025-04-22 19:39:46,,,,[],0.0,
#478653,137036,2025-04-22 19:41:42,2025-04-22 19:41:42,,,,2025-04-22 19:41:42,,,,[],0.0,
#478654,137044,2025-04-22 19:49:05,2025-04-22 19:49:05,,,,2025-04-22 19:49:05,,,,[],0.0,
#478655,137043,2025-04-22 19:52:45,2025-04-22 19:52:45,,,,2025-04-22 19:52:45,,,,[],0.0,
#478656,137042,2025-04-22 19:55:12,2025-04-22 19:55:12,,,,2025-04-22 19:55:12,,,,[],0.0,
#478657,137041,2025-04-22 19:58:32,2025-04-22 19:58:32,,,,2025-04-22 19:58:32,,,,[],0.0,
S04165,136714,2025-04-22 20:00:00,2025-04-22 20:00:00,,,,2025-05-22 20:00:00,Wholesale,30 Days,,[],0.0,3168.0
S04165,136713,2025-04-22 20:00:00,2025-04-22 20:00:00,,,,2025-05-22 20:00:00,Wholesale,30 Days,,[],0.0,3168.0
#478658,137045,2025-04-22 20:03:13,2025-04-22 20:03:13,,,,2025-04-22 20:03:13,,,,[],0.0,
#478659,137049,2025-04-22 20:16:29,2025-04-22 20:16:29,,,,2025-04-22 20:16:29,,,,[],0.0,
#478660,137048,2025-04-22 20:22:17,2025-04-22 20:22:17,,,,2025-04-22 20:22:17,,,,[],0.0,
#478661,137047,2025-04-22 20:25:09,2025-04-22 20:25:09,,,,2025-04-22 20:25:09,,,,[],0.0,
S04278,136782,2025-04-22 22:00:00,2025-04-22 22:00:00,,,,2025-05-22 22:00:00,Wholesale,30 Days,,[],0.0,449.47
#YUB5KU3B28,136765,2025-04-23 12:59:59,2025-04-23 12:59:59,,,,2025-05-23 12:59:59,Faire,30 Days,,[],0.0,26.18
S03714,117408,2025-04-23 15:00:00,2025-04-23 15:00:00,,,,2025-05-23 15:00:00,Wholesale,30 Days,,[],0.0,2996.96
S03714,117311,2025-04-23 15:00:00,2025-04-23 15:00:00,,,,2025-05-23 15:00:00,Wholesale,30 Days,,[],0.0,2996.96
S04259,137011,2025-04-23 16:00:00,2025-04-23 16:00:00,,,,2025-04-23 16:00:00,Wholesale,Due on Ship,,[],0.0,152.5
